title,writer,company,publication,price,sell_count,review_count,score,site_link
Explainable Ai: Interpreting Explaining and Visualizing Deep Learning,Samek Wojciech  /  Montavon Gregoire  /  Vedaldi Andrea,Springer,2019년 08월,115400,66,정보없음,정보없음,http://www.yes24.com/Product/Goods/78755923?OzSrank=16
2020 미국 연구개발 테마 총서 Vol.05. 딥 러닝(Deep Learning),편집부 저,씨에치오얼라이언스(CHO Alliance),2020년 12월,270000,54,정보없음,정보없음,http://www.yes24.com/Product/Goods/97247096?OzSrank=17
Deep Learning for Coders with Fastai and Pytorch: AI Applications Without a PhD,Gugger Sylvain /  Howard Jeremy,Oreilly & Associates Inc,2020년 02월,81770,234,정보없음,정보없음,http://www.yes24.com/Product/Goods/76134431?OzSrank=18
Advanced Deep Learning with Tensorflow and Keras 2/E,Rowel Atienza,Packt Publishing,2020년 02월,50000,168,정보없음,정보없음,http://www.yes24.com/Product/Goods/90601333?OzSrank=19
Generative Deep Learning: Teaching Machines to Paint Write Compose and Play,Foster David,Oreilly & Associates Inc,2019년 09월,81770,108,정보없음,정보없음,http://www.yes24.com/Product/Goods/69635044?OzSrank=20
The Deep Learning Revolution,테런스 J. 세즈노스키 저,MIT Press,2018년 10월,25000,60,정보없음,정보없음,http://www.yes24.com/Product/Goods/51185784?OzSrank=21
Deep Learning in Computer Vision: Principles and Applications,Mahmoud Hassaballah (EDT) /  Ali Ismail Awad (EDT),CRC Press,2020년 04월,59000,108,정보없음,정보없음,http://www.yes24.com/Product/Goods/91285795?OzSrank=22
Deep Learning with TensorFlow 2 and Keras 2/E,Gulli Antonio  /  Pal Sujit  /  Kapoor Amita,Packt Publishing,2019년 12월,49000,108,정보없음,정보없음,http://www.yes24.com/Product/Goods/85827829?OzSrank=23
PyTorch Deep Learning Hands-On,Thomas Sherin  /  Passi Sudhanshu,,2019년 04월,29000,48,정보없음,정보없음,http://www.yes24.com/Product/Goods/73141741?OzSrank=24
Foundations of Deep Reinforcement Learning: Theory and Practice in Python,Graesser Laura Harding /  Wah Loon Keng,Addison-Wesley Professional,2019년 10월,62000,60,정보없음,정보없음,http://www.yes24.com/Product/Goods/71845792?OzSrank=25
Deep Learning for Computer Vision,Shanmugamani Rajalingappaa,Packt Publishing,2018년 01월,35000,48,정보없음,정보없음,http://www.yes24.com/Product/Goods/58448502?OzSrank=26
Pro Deep Learning with Tensorflow: A Mathematical Approach to Advanced Artificial Intelligence in Python,Pattanayak Santanu,Apress,2018년 02월,60540,48,정보없음,정보없음,http://www.yes24.com/Product/Goods/46206396?OzSrank=27
Practical Computer Vision Applications Using Deep Learning with Cnns: With Detailed Examples in Python Using Tensorflow and Kivy,Gad Ahmed Fawzy,Apress,2019년 03월,60540,48,정보없음,정보없음,http://www.yes24.com/Product/Goods/64673572?OzSrank=28
Deep Learning Illustrated: A Visual Interactive Guide to Artificial Intelligence,Jon Krohn,Addison-Wesley Professional,2018년 12월,59000,60,정보없음,정보없음,http://www.yes24.com/Product/Goods/63785901?OzSrank=29
Deep Learning in Object Detection and Recognition,Jiang Xiaoyue (EDT) /  Hadid Abdenour (EDT) /  Pang Yanwei (EDT) /  Granger Eric (EDT),Springer-Verlag New York Inc,2019년 05월,144130,54,정보없음,정보없음,http://www.yes24.com/Product/Goods/41101904?OzSrank=30
Natural Language Processing with Pytorch: Build Intelligent Language Applications Using Deep Learning,Rao Delip,O'Reilly Media,2017년 10월,105140,48,정보없음,정보없음,http://www.yes24.com/Product/Goods/39282049?OzSrank=31
MATLAB Deep Learning: With Machine Learning Neural Networks and Artificial Intelligence,Kim Phil,Apress,2017년 06월,54490,60,정보없음,정보없음,http://www.yes24.com/Product/Goods/39278573?OzSrank=32
Mastering Computer Vision with TensorFlow 2.x: Build advanced computer vision applications using machine learning and deep learning techniques,Krishnendu Kar,Packt Publishing,2020년 05월,52570,54,정보없음,정보없음,http://www.yes24.com/Product/Goods/91015949?OzSrank=33
Mobile Deep Learning with TensorFlow Lite ML Kit and Flutter,Anubhav SinghRimjhim Bhadani,Packt Publishing,2020년 04월,39000,60,정보없음,정보없음,http://www.yes24.com/Product/Goods/90011286?OzSrank=34
Beginning Anomaly Detection Using Python-Based Deep Learning: With Keras and Pytorch,Alla Sridhar  /  Adari Suman Kalyan,Apress,2019년 10월,46010,72,정보없음,정보없음,http://www.yes24.com/Product/Goods/81744864?OzSrank=35
Programming Pytorch for Deep Learning: Creating and Deploying Deep Learning Applications,Pointer Ian,Oreilly & Associates Inc,2019년 11월,58400,84,정보없음,정보없음,http://www.yes24.com/Product/Goods/73605065?OzSrank=36
Deep Learning and the Game of Go,Pumperla Max /  Ferguson Kevin,Manning Publications,2019년 01월,78360,12,정보없음,정보없음,http://www.yes24.com/Product/Goods/60738898?OzSrank=37
Advanced Applied Deep Learning: Convolutional Neural Networks and Object Detection,Michelucci Umberto,Apress,2019년 12월,48710,정보없음,정보없음,정보없음,http://www.yes24.com/Product/Goods/73285819?OzSrank=38
Deep Learning Technologies and Applications,Prudhomme Gerard (EDT),Arcler Edu Inc,2017년 11월,181110,정보없음,정보없음,정보없음,http://www.yes24.com/Product/Goods/60734696?OzSrank=39
Deep Learning for Natural Language Processing: Creating Neural Networks with Python,Goyal Palash /  Pandey Sumit,Apress,2018년 09월,58400,정보없음,정보없음,정보없음,http://www.yes24.com/Product/Goods/60728314?OzSrank=40
핸즈온 머신러닝,오렐리앙 제롱 저/박해선 역,한빛미디어,2020년 05월,49500,48240,13,9.1,http://www.yes24.com/Product/Goods/89959711?OzSrank=1
Machine Learning 머신 러닝,케빈 머피 저 / 노영찬김기성 공역,에이콘출판사,2015년 08월,54000,276,3,3.0,http://www.yes24.com/Product/Goods/20008522?OzSrank=2
